LSOA code,District or communal heat networks only,Electric only,Mains gas only,centralheating_no,Oil only,Other central heating only,Renewable energy only,Solid fuel only,Tank or bottled gas only,Two or more types of central heating (including renewable energy),Two or more types of central heating (not including renewable energy),Wood only,total,centralheating_yes
E01000001,261,342,108,22,2,26,1,0,5,1,72,0,840,818
E01000002,251,357,77,16,1,34,2,0,2,2,81,1,824,808
E01000003,198,236,445,36,2,23,1,0,5,2,71,0,1019,983
E01000005,108,84,212,6,4,27,0,0,3,0,35,0,479,473
E01000006,0,96,390,15,0,11,0,0,6,2,34,0,554,539
E01000007,110,469,424,37,9,46,9,0,8,3,77,0,1192,1155
E01000008,31,143,263,15,1,21,1,0,9,1,63,0,548,533
E01000009,3,104,404,17,2,11,0,0,4,1,54,0,600,583
E01000011,1,33,363,18,0,14,0,0,4,0,40,0,473,455
E01000012,4,336,327,29,0,20,1,0,0,0,65,0,782,753
E01000013,1,32,483,10,0,13,0,0,8,1,68,0,616,606
E01000014,19,44,484,15,0,12,1,1,3,0,56,0,635,620
E01000015,4,46,661,18,0,24,0,0,9,1,72,0,835,817
E01000016,1,30,514,8,0,12,0,3,6,0,55,0,629,621
E01000017,2,48,465,15,0,17,0,0,0,0,51,0,598,583
E01000018,0,23,546,7,0,13,0,0,6,1,49,0,645,638
E01000019,1,25,397,13,1,16,0,0,2,1,43,0,499,486
E01000020,2,42,538,10,0,11,0,0,0,6,55,0,664,654
E01000021,1,55,444,14,0,13,1,0,3,2,58,0,591,577
E01000022,0,18,399,5,0,19,1,0,0,1,36,0,479,474
E01000024,0,17,378,9,1,13,0,0,1,0,40,0,459,450
E01000025,2,44,556,11,0,13,1,0,1,0,66,0,694,683
E01000027,2,41,542,12,1,9,1,0,4,0,50,0,662,650
E01000028,21,37,466,13,0,17,0,0,5,3,58,0,620,607
E01000029,0,64,550,14,0,4,0,0,4,0,46,0,682,668
E01000030,18,175,558,24,0,19,2,0,2,10,98,0,906,882
E01000031,2,54,475,3,1,10,0,0,2,1,44,0,592,589
E01000032,13,65,529,12,1,16,2,0,3,3,76,0,720,708
E01000033,10,89,384,10,0,12,1,0,3,0,44,0,553,543
E01000034,1,16,424,4,1,12,0,0,1,3,52,0,514,510
E01000035,3,55,447,15,0,9,1,0,0,1,64,0,595,580
E01000036,1,19,398,7,0,7,0,0,2,1,36,0,471,464
E01000037,2,14,505,7,0,4,0,0,3,0,54,0,589,582
E01000038,2,14,504,5,0,6,0,0,3,1,27,0,562,557
E01000039,1,38,525,6,1,9,0,0,14,0,48,0,642,636
E01000040,6,54,500,16,0,18,0,0,3,0,59,0,656,640
E01000041,5,24,483,12,0,6,0,0,5,4,63,0,602,590
E01000042,7,41,512,12,0,11,0,0,3,4,64,0,654,642
E01000043,3,32,350,14,1,12,0,0,4,0,55,0,471,457
E01000044,2,94,459,17,1,10,1,0,4,4,68,0,660,643
E01000045,2,22,494,10,0,9,1,0,4,1,34,0,577,567
E01000046,2,57,520,13,0,11,2,0,1,0,55,0,661,648
E01000049,22,178,292,16,0,17,3,0,4,3,41,1,577,561
E01000050,18,96,415,18,1,11,1,0,10,1,58,0,629,611
E01000051,81,138,126,10,0,19,10,0,2,12,35,0,433,423
E01000052,1,43,625,18,0,11,0,0,4,1,93,0,796,778
E01000053,10,196,370,16,0,12,0,0,4,1,42,0,651,635
E01000054,2,14,534,18,1,20,0,0,3,3,45,0,640,622
E01000055,3,27,457,10,0,16,0,0,1,0,53,0,567,557
E01000056,1,47,434,10,0,12,0,0,3,4,54,0,565,555
E01000057,1,32,423,16,2,9,0,0,0,0,48,0,531,515
E01000058,0,34,571,9,0,16,0,0,11,0,55,0,696,687
E01000059,2,36,449,12,1,5,1,0,4,1,59,0,570,558
E01000060,27,196,482,13,0,19,1,0,2,2,67,0,809,796
E01000061,62,354,235,13,0,16,2,0,5,7,57,0,751,738
E01000062,7,78,577,15,2,12,1,0,5,3,68,0,768,753
E01000063,2,29,516,11,0,10,0,0,2,3,52,0,625,614
E01000064,12,108,544,19,0,18,3,0,12,7,72,0,795,776
E01000065,36,100,550,16,0,12,1,0,4,1,64,0,784,768
E01000066,2,50,533,22,0,12,0,0,2,1,87,0,709,687
E01000067,1,27,553,12,0,18,0,0,6,1,43,0,661,649
